Date,10 YR
1/30/2017,2.49
1/31/2017,2.45
2/1/2017,2.48
2/2/2017,2.48
2/3/2017,2.49
2/6/2017,2.42
2/7/2017,2.4
2/8/2017,2.34
2/9/2017,2.4
2/10/2017,2.41
2/13/2017,2.43
2/14/2017,2.47
2/15/2017,2.51
2/16/2017,2.45
2/17/2017,2.42
2/21/2017,2.43
2/22/2017,2.42
2/23/2017,2.38
2/24/2017,2.31
2/27/2017,2.36
2/28/2017,2.36
3/1/2017,2.46
3/2/2017,2.49
3/3/2017,2.49
3/6/2017,2.49
3/7/2017,2.52
3/8/2017,2.57
3/9/2017,2.6
3/10/2017,2.58
3/13/2017,2.62
3/14/2017,2.6
3/15/2017,2.51
3/16/2017,2.53
3/17/2017,2.5
3/20/2017,2.47
3/21/2017,2.43
3/22/2017,2.4
3/23/2017,2.41
3/24/2017,2.4
3/27/2017,2.38
3/28/2017,2.42
3/29/2017,2.39
3/30/2017,2.42
3/31/2017,2.4
4/3/2017,2.35
4/4/2017,2.36
4/5/2017,2.34
4/6/2017,2.34
4/7/2017,2.38
4/10/2017,2.37
4/11/2017,2.32
4/12/2017,2.28
4/13/2017,2.24
4/17/2017,2.26
4/18/2017,2.18
4/19/2017,2.21
4/20/2017,2.24
4/21/2017,2.24
4/24/2017,2.28
4/25/2017,2.35
4/26/2017,2.32
4/27/2017,2.3
4/28/2017,2.29
5/1/2017,2.33
5/2/2017,2.29
5/3/2017,2.33
5/4/2017,2.36
5/5/2017,2.36
5/8/2017,2.39
5/9/2017,2.42
5/10/2017,2.41
5/11/2017,2.39
5/12/2017,2.33
5/15/2017,2.34
5/16/2017,2.33
5/17/2017,2.22
5/18/2017,2.23
5/19/2017,2.23
5/22/2017,2.25
5/23/2017,2.29
5/24/2017,2.26
5/25/2017,2.25
5/26/2017,2.25
5/30/2017,2.21
5/31/2017,2.21
6/1/2017,2.21
6/2/2017,2.15
6/5/2017,2.18
6/6/2017,2.14
6/7/2017,2.18
6/8/2017,2.19
6/9/2017,2.21
6/12/2017,2.21
6/13/2017,2.21
6/14/2017,2.15
6/15/2017,2.16
6/16/2017,2.16
6/19/2017,2.19
6/20/2017,2.16
6/21/2017,2.16
6/22/2017,2.15
6/23/2017,2.15
6/26/2017,2.14
6/27/2017,2.21
6/28/2017,2.22
6/29/2017,2.27
6/30/2017,2.31
7/3/2017,2.35
7/5/2017,2.33
7/6/2017,2.37
7/7/2017,2.39
7/10/2017,2.38
7/11/2017,2.37
7/12/2017,2.33
7/13/2017,2.35
7/14/2017,2.33
7/17/2017,2.31
7/18/2017,2.27
7/19/2017,2.27
7/20/2017,2.27
7/21/2017,2.24
7/24/2017,2.26
7/25/2017,2.33
7/26/2017,2.29
7/27/2017,2.32
7/28/2017,2.3
7/31/2017,2.3
8/1/2017,2.26
8/2/2017,2.27
8/3/2017,2.24
8/4/2017,2.27
8/7/2017,2.26
8/8/2017,2.29
8/9/2017,2.24
8/10/2017,2.2
8/11/2017,2.19
8/14/2017,2.22
8/15/2017,2.27
8/16/2017,2.23
8/17/2017,2.19
8/18/2017,2.19
8/21/2017,2.18
8/22/2017,2.22
8/23/2017,2.17
8/24/2017,2.19
8/25/2017,2.17
8/28/2017,2.16
8/29/2017,2.13
8/30/2017,2.15
8/31/2017,2.12
9/1/2017,2.16
9/5/2017,2.07
9/6/2017,2.1
9/7/2017,2.05
9/8/2017,2.06
9/11/2017,2.14
9/12/2017,2.17
9/13/2017,2.2
9/14/2017,2.2
9/15/2017,2.2
9/18/2017,2.23
9/19/2017,2.24
9/20/2017,2.28
9/21/2017,2.27
9/22/2017,2.26
9/25/2017,2.22
9/26/2017,2.24
9/27/2017,2.31
9/28/2017,2.31
9/29/2017,2.33
10/2/2017,2.34
10/3/2017,2.33
10/4/2017,2.33
10/5/2017,2.35
10/6/2017,2.37
10/10/2017,2.35
10/11/2017,2.35
10/12/2017,2.33
10/13/2017,2.28
10/16/2017,2.3
10/17/2017,2.3
10/18/2017,2.34
10/19/2017,2.33
10/20/2017,2.39
10/23/2017,2.38
10/24/2017,2.42
10/25/2017,2.44
10/26/2017,2.46
10/27/2017,2.42
10/30/2017,2.37
10/31/2017,2.38
11/1/2017,2.37
11/2/2017,2.35
11/3/2017,2.34
11/6/2017,2.32
11/7/2017,2.32
11/8/2017,2.32
11/9/2017,2.33
11/10/2017,2.4
11/13/2017,2.4
11/14/2017,2.38
11/15/2017,2.33
11/16/2017,2.37
11/17/2017,2.35
11/20/2017,2.37
11/21/2017,2.36
11/22/2017,2.32
11/24/2017,2.34
11/27/2017,2.32
11/28/2017,2.34
11/29/2017,2.37
11/30/2017,2.42
12/1/2017,2.37
12/4/2017,2.37
12/5/2017,2.36
12/6/2017,2.33
12/7/2017,2.37
12/8/2017,2.38
12/11/2017,2.39
12/12/2017,2.4
12/13/2017,2.36
12/14/2017,2.35
12/15/2017,2.35
12/18/2017,2.39
12/19/2017,2.46
12/20/2017,2.49
12/21/2017,2.48
12/22/2017,2.48
12/26/2017,2.47
12/27/2017,2.42
12/28/2017,2.43
12/29/2017,2.4
1/2/2018,2.46
1/3/2018,2.44
1/4/2018,2.46
1/5/2018,2.47
1/8/2018,2.49
1/9/2018,2.55
1/10/2018,2.55
1/11/2018,2.54
1/12/2018,2.55
1/16/2018,2.54
1/17/2018,2.57
1/18/2018,2.62
1/19/2018,2.64
1/22/2018,2.66
1/23/2018,2.63
1/24/2018,2.65
1/25/2018,2.63
1/26/2018,2.66
1/29/2018,2.7
1/30/2018,2.73
